[[3, 12], [2, 13], [2, 11], [0, 12], [1, 13], [1, 10], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [5, 6], [1, 12], [0, 11], [0, 10], [2, 6], [1, 8], [5, 5], [4, 5], [4, 4], [0, 8], [3, 3], [0, 7], [0, 6], [1, 5], [3, 2], [3, 0], [2, 0], [1, 3], [0, 4], [0, 3], [0, 2], [0, 0], [2, 1], [1, 2], [1, 0], [1, 1], [0, 1]]
[[3, 12], [2, 13], [2, 11], [0, 12], [1, 13], [1, 10], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [5, 6], [1, 12], [0, 11], [0, 10], [2, 6], [1, 8], [5, 5], [4, 5], [4, 4], [0, 8], [3, 3], [0, 7], [0, 6], [1, 5], [3, 2], [3, 0], [2, 0], [2, 1], [1, 1], [1, 2], [0, 2], [0, 3], [1, 3], [0, 1], [2, 2], [1, 0], [3, 1]]
[[3, 12], [2, 13], [2, 11], [0, 12], [1, 13], [1, 10], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [5, 6], [1, 12], [0, 11], [0, 10], [2, 6], [3, 3], [5, 5], [4, 5], [4, 4], [0, 8], [1, 8], [0, 7], [0, 6], [1, 5], [1, 4], [0, 3], [0, 2], [1, 1], [1, 0], [0, 0], [0, 1], [1, 2], [1, 3], [0, 4], [0, 5], [1, 6], [1, 7]]
[[3, 12], [2, 13], [2, 11], [0, 12], [1, 13], [1, 10], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [0, 6], [1, 12], [0, 11], [0, 10], [2, 6], [5, 6], [5, 5], [4, 5], [4, 4], [3, 4], [3, 3], [2, 3], [2, 2], [1, 2], [1, 1], [0, 1], [0, 0], [1, 0], [0, 2], [2, 1], [1, 3], [3, 2], [2, 4], [4, 3], [3, 5], [5, 4], [4, 6]]
[[3, 12], [2, 13], [2, 11], [4, 5], [4, 4], [3, 4], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [0, 13], [1, 13], [1, 12], [0, 11], [0, 10], [1, 9], [1, 8], [0, 7], [0, 6], [1, 5], [1, 4], [0, 3], [0, 2], [1, 1], [1, 0], [0, 0], [0, 1], [1, 2], [1, 3], [0, 4], [0, 5], [1, 6], [1, 7], [0, 8], [0, 9], [1, 10], [1, 11], [0, 12]]
[[3, 12], [2, 13], [2, 11], [0, 12], [1, 13], [1, 10], [8, 5], [8, 8], [7, 8], [7, 7], [6, 7], [6, 6], [5, 6], [5, 5], [4, 5], [4, 4], [3, 4], [3, 3], [2, 3], [2, 2], [1, 2], [1, 1], [0, 1], [0, 0], [1, 0], [0, 2], [2, 1], [1, 3], [3, 2], [2, 4], [4, 3], [3, 5], [5, 4], [4, 6], [6, 5], [5, 7], [7, 6], [6, 8], [8, 7]]
[[3, 12], [5, 6], [2, 11], [2, 13], [1, 13], [0, 12], [0, 11], [1, 10], [1, 9], [0, 8], [2, 7], [1, 6], [0, 6], [2, 4], [0, 5], [1, 3], [2, 3], [1, 2], [2, 0], [1, 0], [0, 2], [0, 1], [0, 0], [1, 1], [2, 1], [2, 2], [0, 3], [1, 4], [0, 4], [1, 5], [2, 6], [0, 7], [1, 7], [1, 8], [0, 9], [0, 10], [1, 11], [0, 13], [1, 12]]
[[3, 12], [2, 13], [1, 13], [0, 12], [0, 11], [1, 10], [1, 9], [0, 8], [2, 7], [1, 6], [0, 6], [2, 4], [0, 5], [1, 3], [2, 3], [1, 2], [2, 0], [1, 0], [0, 2], [0, 1], [0, 0], [1, 1], [2, 1], [2, 2], [0, 3], [1, 4], [0, 4], [1, 5], [2, 6], [0, 7], [1, 7], [1, 8], [0, 9], [0, 10], [1, 11], [0, 13], [1, 12], [2, 12], [2, 11]]
[[1, 13], [0, 12], [0, 11], [1, 10], [1, 9], [0, 8], [2, 7], [1, 6], [0, 6], [2, 4], [0, 5], [1, 3], [2, 3], [1, 2], [2, 0], [1, 0], [0, 2], [0, 1], [0, 0], [1, 1], [2, 1], [2, 2], [0, 3], [1, 4], [0, 4], [1, 5], [2, 6], [0, 7], [1, 7], [1, 8], [0, 9], [0, 10], [1, 11], [0, 13], [1, 12], [2, 12], [2, 11], [2, 10], [3, 1]]
[[2, 13], [1, 13], [0, 12], [0, 11], [1, 10], [1, 9], [0, 8], [0, 7], [1, 6], [1, 5], [0, 4], [0, 3], [1, 2], [1, 1], [0, 0], [1, 0], [0, 1], [0, 2], [1, 3], [1, 4], [0, 5], [0, 6], [1, 7], [1, 8], [0, 9], [0, 10], [1, 11], [1, 12], [0, 13], [2, 12], [3, 13], [2, 11], [2, 1], [3, 12], [2, 0], [2, 10], [2, 9], [2, 2], [3, 1]]
[[6, 6], [5, 6], [5, 5], [4, 5], [4, 4], [3, 4], [3, 3], [2, 3], [2, 2], [1, 2], [1, 1], [0, 1], [0, 0], [1, 0], [0, 2], [2, 1], [1, 3], [3, 2], [2, 4], [4, 3], [3, 5], [5, 4], [4, 6], [6, 5], [5, 7], [6, 7], [6, 4], [1, 12], [0, 13], [2, 12], [3, 13], [2, 11], [2, 0], [3, 12], [3, 0], [2, 10], [2, 9], [3, 1], [4, 0]]
[[1, 9], [1, 8], [0, 7], [0, 6], [1, 5], [1, 4], [0, 3], [0, 2], [1, 1], [1, 0], [0, 0], [0, 1], [1, 2], [1, 3], [0, 4], [0, 5], [1, 6], [1, 7], [0, 8], [0, 9], [2, 8], [0, 10], [4, 6], [6, 5], [5, 7], [6, 7], [6, 4], [1, 12], [0, 13], [2, 12], [3, 13], [2, 11], [2, 0], [3, 12], [3, 0], [2, 10], [2, 9], [3, 1], [4, 0]]
[[3, 4], [3, 3], [2, 3], [2, 2], [1, 2], [1, 1], [0, 1], [0, 0], [1, 0], [0, 2], [2, 1], [1, 3], [3, 2], [2, 4], [4, 3], [3, 5], [1, 4], [0, 7], [0, 5], [0, 9], [0, 6], [0, 8], [0, 3], [1, 5], [4, 1], [0, 4], [6, 4], [1, 12], [0, 13], [2, 12], [3, 13], [2, 11], [2, 0], [3, 12], [3, 0], [2, 10], [2, 9], [3, 1], [4, 0]]
